expert,layer_type,1080Ti,A6000,better_gpu
decoder_1_0,decoder,0.01784350555437283,0.0177919485987252,A6000
encoder_5_6,encoder,0.01744834629415792,0.017126591075137466,A6000
encoder_5_5,encoder,0.016570084634236096,0.017020207253803425,1080Ti
encoder_5_4,encoder,0.017076158571649735,0.017105474539345564,1080Ti
encoder_5_2,encoder,0.016316649462514793,0.016944853300910875,1080Ti
encoder_5_1,encoder,0.016847422989045166,0.017122043121069633,1080Ti
encoder_5_0,encoder,0.017028613289951044,0.017494330041169494,1080Ti
encoder_3_7,encoder,0.01725209372388683,0.01740836349240976,1080Ti
encoder_3_6,encoder,0.016741679512766082,0.016842110731809107,1080Ti
encoder_3_5,encoder,0.0171770967356582,0.016894810057265525,A6000
encoder_5_7,encoder,0.01634595302473583,0.017061536055984795,1080Ti
encoder_3_4,encoder,0.017259575014189964,0.017160393398341967,A6000
encoder_3_2,encoder,0.013654756697394608,0.017235958635864385,1080Ti
encoder_3_1,encoder,0.017068433066479833,0.017420954436305112,1080Ti
encoder_3_0,encoder,0.015243543004161782,0.017343138916257855,1080Ti
encoder_1_7,encoder,0.01684065195566816,0.017184030589380794,1080Ti
encoder_1_6,encoder,0.016793661319088733,0.017468301091480322,1080Ti
encoder_1_5,encoder,0.017310296583639286,0.01578994384342176,A6000
encoder_1_4,encoder,0.027099619350082302,0.016935400057960896,A6000
encoder_1_3,encoder,0.01696349138172164,0.017238344077811923,1080Ti
encoder_1_2,encoder,0.016712710164464788,0.017105075420484853,1080Ti
encoder_3_3,encoder,0.017883164305975637,0.01713923557170309,A6000
encoder_7_0,encoder,0.017486825803880165,0.017439166244942742,A6000
encoder_7_1,encoder,0.01733944891973664,0.01691588743833663,A6000
encoder_7_2,encoder,0.017006371667639925,0.01705499176795965,1080Ti
encoder_11_7,encoder,0.017180455897436032,0.017243633451998613,1080Ti
encoder_11_6,encoder,0.017647828342841513,0.017830107695517117,1080Ti
encoder_11_5,encoder,0.016585156130739253,0.017230651513075405,1080Ti
encoder_11_4,encoder,0.01696649913002149,0.017131500482616434,1080Ti
encoder_11_3,encoder,0.016956942269631067,0.017001402668768206,1080Ti
encoder_11_2,encoder,0.01671380868815191,0.017092137024106054,1080Ti
encoder_11_1,encoder,0.016316899442095346,0.016870243953929002,1080Ti
encoder_11_0,encoder,0.01643351883744233,0.017476764988626006,1080Ti
encoder_9_7,encoder,0.015885019818749173,0.01722965819681998,1080Ti
encoder_9_6,encoder,0.017073189205013068,0.017124711831340844,1080Ti
encoder_9_5,encoder,0.013992779460633398,0.01706626547010124,1080Ti
encoder_9_4,encoder,0.01678834001217262,0.01714736528447568,1080Ti
encoder_9_3,encoder,0.01670432067882026,0.017123702972862493,1080Ti
encoder_9_2,encoder,0.016989896276197358,0.01742693860180019,1080Ti
encoder_9_1,encoder,0.017078008121354585,0.017643973665346934,1080Ti
encoder_9_0,encoder,0.016850008073822694,0.01762792697317173,1080Ti
encoder_7_7,encoder,0.01733759472209351,0.016970283892037724,A6000
encoder_7_6,encoder,0.016498651140946494,0.018472996789262536,1080Ti
encoder_7_5,encoder,0.020963227407711674,0.016923575260466863,A6000
encoder_7_4,encoder,0.015814829531213614,0.016949306494370826,1080Ti
encoder_7_3,encoder,0.01758144472741107,0.017418128821119906,A6000
encoder_1_1,encoder,0.017015265968352775,0.016641568594435763,A6000
encoder_1_0,encoder,0.019134267285548283,0.016588725697817237,A6000
encoder_5_3,encoder,0.017406322226951088,0.017051087466353483,A6000
decoder_11_6,decoder,0.016765296262004573,0.017071370082024213,1080Ti
decoder_5_5,decoder,0.017899419955881898,0.01679002493493725,A6000
decoder_5_4,decoder,0.018014493354295304,0.01702283166812824,A6000
decoder_5_3,decoder,0.0168747825520953,0.01714471259652054,1080Ti
decoder_5_2,decoder,0.01692475607693941,0.017184208280477117,1080Ti
decoder_5_1,decoder,0.01672046511088576,0.017343802126771023,1080Ti
decoder_5_0,decoder,0.01422625399522474,0.014724054729206017,1080Ti
decoder_3_7,decoder,0.016735999058628357,0.017042809713408612,1080Ti
decoder_3_6,decoder,0.015358712741843661,0.017184762374799507,1080Ti
decoder_3_5,decoder,0.018987648009461542,0.01729514269617217,A6000
decoder_3_4,decoder,0.01669264310454178,0.017062659847391512,1080Ti
decoder_3_3,decoder,0.01710699688194534,0.016904979716499072,A6000
decoder_3_2,decoder,0.016362628619677945,0.017119919525723056,1080Ti
decoder_3_1,decoder,0.01699690077081339,0.017428702499807425,1080Ti
decoder_3_0,decoder,0.01644474521004466,0.017520265022153102,1080Ti
decoder_1_7,decoder,0.015340251075531965,0.017343214568451063,1080Ti
decoder_1_6,decoder,0.01668848004254589,0.016941510219369793,1080Ti
decoder_11_7,decoder,0.016898911996067377,0.017136074791097564,1080Ti
decoder_1_4,decoder,0.01708513389223421,0.018153160223255794,1080Ti
decoder_1_3,decoder,0.016897802979177024,0.017219715752770547,1080Ti
decoder_1_2,decoder,0.016883215920084682,0.01716675306774884,1080Ti
decoder_1_1,decoder,0.016949754144339083,0.01712028207322109,1080Ti
decoder_5_6,decoder,0.015172182298615779,0.017050728884914955,1080Ti
decoder_5_7,decoder,0.016630758383079106,0.017023494307463048,1080Ti
decoder_1_5,decoder,0.01820614663020733,0.017582937915640418,A6000
decoder_7_1,decoder,0.016952746635185416,0.017985797829957028,1080Ti
