layer_type,layer_expert,gpu,samples,model_type,mse,r2
decoder,decoder_1_0,1080Ti,3399,SVR (GridSearch),0.01864668914725712,0.0030909856807268543
decoder,decoder_1_0,A6000,3399,SVR (GridSearch),0.0450194849187681,-0.013279379775263278
encoder,encoder_5_6,1080Ti,3277,SVR (GridSearch),0.019289204564928414,0.0004730070554933574
encoder,encoder_5_6,A6000,3277,SVR (GridSearch),0.04565891773754556,-0.004565421795291291
encoder,encoder_5_2,1080Ti,3297,SVR (GridSearch),0.019388809310128343,0.003439972141069614
encoder,encoder_5_2,A6000,3297,SVR (GridSearch),0.04695964999305015,-0.00918917402622177
encoder,encoder_5_0,1080Ti,3396,SVR (GridSearch),0.017779509284410928,0.001347546641890629
encoder,encoder_5_0,A6000,3396,SVR (GridSearch),0.04790958298560372,-0.014239651562883093
encoder,encoder_3_7,1080Ti,3322,SVR (GridSearch),0.01918338714977526,0.0010706308434580425
encoder,encoder_3_7,A6000,3322,SVR (GridSearch),0.044068153442964365,-0.00640976639994606
encoder,encoder_3_5,1080Ti,3255,SVR (GridSearch),0.01963006203191561,-0.001583004747720329
encoder,encoder_3_5,A6000,3255,SVR (GridSearch),0.04580595135470209,-0.0065936459231192845
encoder,encoder_5_7,1080Ti,3313,SVR (GridSearch),0.018691817999816163,7.55239610350511e-06
encoder,encoder_5_7,A6000,3313,SVR (GridSearch),0.04508693403894925,-0.007074879103316389
encoder,encoder_3_4,1080Ti,3335,SVR (GridSearch),0.018765868265912703,0.0008178861880383526
encoder,encoder_3_4,A6000,3335,SVR (GridSearch),0.04637334734881743,-0.008492410920816429
encoder,encoder_3_2,1080Ti,3357,SVR (GridSearch),0.0191506979623978,0.004512096583997982
encoder,encoder_3_2,A6000,3357,SVR (GridSearch),0.04816365930208754,-0.010022699651121236
encoder,encoder_3_1,1080Ti,3242,SVR (GridSearch),0.016809235202630234,0.0010049732785128995
encoder,encoder_3_1,A6000,3242,SVR (GridSearch),0.049885179706296065,-0.014992403352556138
encoder,encoder_3_0,1080Ti,3374,SVR (GridSearch),0.017319349253908423,0.0023914314094517497
encoder,encoder_3_0,A6000,3374,SVR (GridSearch),0.050164150612023214,-0.01731606766600491
encoder,encoder_1_7,1080Ti,3307,SVR (GridSearch),0.019004345471645704,0.0006859099360333465
encoder,encoder_1_7,A6000,3307,SVR (GridSearch),0.0477016647492201,-0.010385982522667536
encoder,encoder_1_6,1080Ti,3281,SVR (GridSearch),0.019421729770713988,0.00012651325076806774
encoder,encoder_1_6,A6000,3281,SVR (GridSearch),0.04749272922143747,-0.006752527316727264
encoder,encoder_1_5,1080Ti,3343,SVR (GridSearch),0.018662718491726658,0.0020414896096752067
encoder,encoder_1_5,A6000,3343,SVR (GridSearch),0.04714049674728138,-0.0043347400800215485
encoder,encoder_1_4,1080Ti,3320,SVR (GridSearch),0.018726233179557118,0.0006152965714416592
encoder,encoder_1_4,A6000,3320,SVR (GridSearch),0.05165762435597416,-0.005458794692609015
encoder,encoder_1_3,1080Ti,3352,SVR (GridSearch),0.01965118663543376,-8.956943975824139e-05
